0, 2
1, 2
2, 2
3, 2
4, 2
5, 2
6, 2
7, 2
8, 2
9, 2
9, 3
9, 4
9, 5
9, 6
8, 6
7, 6
6, 6
5, 6
4, 6
3, 6
2, 6
2, 7
2, 8
2, 9
2, 10
3, 10
4, 10
5, 10
6, 10
7, 10
8, 10
9, 10
10, 10
11, 10
12, 10
13, 10
13, 9
13, 8
13, 7
13, 6
13, 5
13, 4
13, 3
13, 2
14, 2
15, 2
16, 2
17, 2
17, 3
17, 4
17, 5
17, 6
17, 7
17, 8
17, 9
17, 10
17, 11
17, 12
17, 13
16, 13
15, 13
14, 13
13, 13
12, 13
11, 13
10, 13
9, 13
8, 13
7, 13
6, 13
5, 13
4, 13
3, 13
2, 13
2, 14
2, 15
2, 16
2, 17
3, 17
4, 17
5, 17
6, 17
7, 17
8, 17
8, 18
8, 19
8, 20
8, 21
7, 21
6, 21
5, 21
4, 21
3, 21
2, 21
2, 22
2, 23
3, 23
4, 23
5, 23
6, 23
7, 23
8, 23
9, 23
10, 23
11, 23
12, 23
12, 22
12, 21
12, 20
12, 19
12, 18
12, 17
13, 17
14, 17
15, 17
16, 17
16, 18
16, 19
16, 20
17, 20
18, 20
19, 20
20, 20
21, 20
22, 20
23, 20
24, 20
